アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,有酸素トレーニング効果,平均速度,最高速度,総上昇量,総下降量,Training Stress Score®,Body Battery消費量,最低気温,減圧,ベストラップタイム,ラップ数,最高気温,平均呼吸数,最小呼吸数,最大呼吸数,移動時間,経過時間,最低高度,最高高度
屋内バイク,2026-03-24 12:40:06,false,"屋内バイク","0.00","212","00:25:00","117","135","1.2","--","--","--","--","0.0","-3","--","いいえ","00:25:00","1","--","--","--","--","00:00:00","00:25:00","--","--"
バイク,2026-03-17 17:17:28,false,"渋谷区 バイク","6.62","162","00:26:10","101","141","0.7","15.2","41.2","66","57","0.0","-2","21.0","いいえ","00:09:08.4","2","29.0","23","12","42","00:21:26","00:26:10","10","47"
屋内バイク,2026-03-14 16:09:06,false,"屋内バイク","0.00","97","00:08:45.1","128","147","1.4","--","--","--","--","0.0","-1","--","いいえ","00:08:45.1","1","--","33","14","43","00:00:00","00:08:45.1","--","--"
バイク,2026-03-08 16:00:24,false,"渋谷区 バイク","5.82","129","00:24:25","94","127","0.4","14.3","39.0","46","43","0.0","-2","25.0","いいえ","00:04:34.0","2","29.0","--","--","--","00:19:41","00:24:25","23","55"
屋内バイク,2026-03-07 14:43:54,false,"屋内バイク","0.00","46","00:07:29.0","104","128","0.4","--","--","--","--","0.0","--","--","いいえ","00:07:29.0","1","--","24","21","27","00:00:00","00:15:10","--","--"
屋内バイク,2026-03-07 14:20:59,false,"ミドルパワートレーニングW","0.00","197","00:21:08","122","158","1.9","--","--","--","--","0.0","-4","--","いいえ","00:00:32.4","11","--","29","20","39","00:00:00","00:21:08","--","--"
屋内バイク,2026-03-07 13:49:17,false,"屋内バイク","0.00","115","00:09:58.1","130","157","1.8","--","--","--","--","0.0","-2","--","いいえ","00:09:58.1","1","--","33","15","46","00:00:00","00:09:58.1","--","--"
屋内バイク,2026-03-05 17:03:41,false,"エリプティカル","0.00","546","00:45:00","135","146","2.9","--","--","--","--","0.0","-7","--","いいえ","00:45:00","1","--","40","20","51","00:00:00","00:45:00","--","--"
屋内バイク,2026-03-03 15:23:27,false,"屋内バイク","0.00","367","00:30:04","141","149","2.6","--","--","--","--","0.0","--","--","いいえ","00:04:10.8","3","--","31","22","43","00:00:00","00:30:04","--","--"
屋内バイク,2026-03-03 14:31:37,false,"屋内バイク","0.00","82","00:07:48.3","125","147","1.0","--","--","--","--","0.0","-1","--","いいえ","00:07:48.3","1","--","30","18","37","00:00:00","00:07:48.3","--","--"
屋内バイク,2026-02-28 16:56:31,false,"屋内バイク","0.00","135","00:14:25","117","123","0.9","--","--","--","--","0.0","-1","--","いいえ","00:14:25","1","--","32","24","39","00:00:00","00:14:25","--","--"
屋内バイク,2026-02-28 16:44:17,false,"ミドルパワートレーニング","0.00","95","00:07:51.6","137","159","1.6","--","--","--","--","0.0","--","--","いいえ","00:07:51.6","1","--","32","20","39","00:00:00","00:07:51.6","--","--"
屋内バイク,2026-02-28 15:45:20,false,"屋内バイク","0.00","62","00:04:33.4","142","156","1.5","--","--","--","--","0.0","--","--","いいえ","00:04:33.4","1","--","45","28","55","00:00:00","00:04:33.4","--","--"
屋内バイク,2026-02-25 18:30:38,false,"ミドルパワートレーニング","0.00","78","00:07:01.8","129","159","1.2","--","--","--","--","0.0","-1","--","いいえ","00:07:01.8","1","--","30","25","35","00:00:00","00:07:01.8","--","--"
屋内バイク,2026-02-25 13:44:43,false,"elliptical (8' * 1)","0.00","150","00:11:02","150","164","2.3","--","--","--","--","0.0","-4","--","いいえ","00:01:30","3","--","34","23","39","00:00:00","00:11:02","--","--"
バイク,2026-02-22 06:47:30,false,"渋谷区 バイク","167.98","2,905","08:21:19","106","153","2.3","20.1","49.7","1,833","1,816","0.0","-44","17.0","いいえ","00:08:40.6","34","26.0","23","11","45","07:32:57","11:12:37","11","716"
屋内バイク,2026-02-21 15:59:05,false,"elliptical (8' * 3)","0.00","386","00:28:30","151","166","3.2","--","--","--","--","0.0","-5","--","いいえ","00:00:00.5","7","--","39","20","54","00:00:00","00:28:30","--","--"
屋内バイク,2026-02-20 17:35:29,false,"屋内バイク","0.00","242","00:30:34","114","125","1.0","--","--","--","--","0.0","-3","--","いいえ","00:30:34","1","--","26","19","32","00:00:00","00:30:34","--","--"
屋内バイク,2026-02-18 19:24:40,false,"elliptical (10' * 3)","0.00","463","00:34:31","150","164","3.2","--","--","--","--","0.0","-5","--","いいえ","00:00:00.9","7","--","36","24","45","00:00:00","00:34:31","--","--"
屋内バイク,2026-02-18 19:07:03,false,"屋内バイク","0.00","116","00:10:31","126","161","1.9","--","--","--","--","0.0","-1","--","いいえ","00:01:25.3","2","--","33","20","46","00:00:00","00:10:31","--","--"
屋内バイク,2026-02-18 12:50:08,false,"エリプティカルワーク","0.00","187","00:12:41","157","168","2.7","--","--","--","--","0.0","-3","--","いいえ","00:01:00","3","--","40","19","49","00:00:00","00:12:41","--","--"
屋内バイク,2026-02-18 12:27:12,false,"屋内バイク","0.00","107","00:07:54.1","143","152","2.1","--","--","--","--","0.0","-3","--","いいえ","00:07:54.1","1","--","41","23","49","00:00:00","00:07:54.1","--","--"
屋内バイク,2026-02-18 12:10:39,false,"屋内バイク","0.00","77","00:10:29","105","130","0.6","--","--","--","--","0.0","-1","--","いいえ","00:10:29","1","--","25","13","38","00:00:00","00:11:51","--","--"
屋内バイク,2026-02-16 16:50:56,false,"屋内バイク","0.00","133","00:10:18","138","146","2.0","--","--","--","--","0.0","-2","--","いいえ","00:10:18","1","--","--","--","--","00:00:00","00:10:18","--","--"
屋内バイク,2026-02-16 16:03:11,false,"屋内バイク","0.00","113","00:10:20","125","141","1.5","--","--","--","--","0.0","-2","--","いいえ","00:10:20","1","--","--","--","--","00:00:00","00:10:20","--","--"
バイク,2026-02-15 07:40:47,false,"渋谷区 バイク","106.80","1,773","05:57:00","98","148","1.7","17.9","42.2","829","817","0.0","-43","22.0","いいえ","00:11:50","22","28.0","21","11","37","04:56:14","07:51:02","-4","94"
屋内バイク,2026-02-14 11:30:29,false,"エリプティカル","0.00","604","00:39:58","159","173","4.1","--","--","--","--","0.0","-10","--","いいえ","00:39:58","1","--","38","21","47","00:00:00","00:39:58","--","--"
屋内バイク,2026-02-14 11:18:04,false,"屋内バイク","0.00","78","00:06:33.4","126","144","1.2","--","--","--","--","0.0","-1","--","いいえ","00:06:33.4","1","--","38","26","47","00:00:00","00:06:33.4","--","--"
屋内バイク,2026-02-12 17:53:38,false,"エリプティカル","0.00","454","00:40:05","131","146","2.5","--","--","--","--","0.0","-7","--","いいえ","00:40:05","1","--","34","22","46","00:00:00","00:40:05","--","--"
屋内バイク,2026-02-08 16:49:45,false,"屋内バイク","0.00","84","00:07:25.0","128","160","1.3","--","--","--","--","0.0","-2","--","いいえ","00:07:25.0","1","--","30","20","37","00:00:00","00:07:25.0","--","--"
屋内バイク,2026-02-08 16:48:26,false,"屋内バイク","0.00","6","00:00:52.4","104","119","0.0","--","--","--","--","0.0","--","--","いいえ","00:00:52.4","1","--","21","19","25","00:00:00","00:00:59.7","--","--"
バイク,2026-02-07 08:34:46,false,"渋谷区 バイク","27.03","436","01:39:38","89","138","0.6","16.3","52.9","151","141","0.0","-8","18.0","いいえ","00:07:44.9","6","27.0","--","--","--","01:25:51","01:42:47","3","38"
バイク,2026-02-05 18:44:49,false,"新宿区 バイク","6.76","177","00:26:37","104","140","1.0","15.2","30.2","74","65","0.0","-2","23.0","いいえ","00:08:08.6","2","30.0","--","--","--","00:24:11","00:26:37","10","47"
バイク,2026-02-05 12:05:22,false,"港区 バイク","7.55","174","00:46:42","83","127","0.3","9.7","28.2","69","73","0.0","-4","26.0","いいえ","00:09:16.6","3","29.0","--","--","--","00:36:21","00:46:42","9","44"
バイク,2026-02-05 09:26:38,false,"渋谷区 バイク","3.77","133","00:19:56","102","141","0.9","11.4","27.4","45","35","0.0","-3","28.0","いいえ","00:04:06.4","2","29.0","--","--","--","00:16:07","00:19:56","16","43"
バイク,2026-02-03 18:43:05,false,"新宿区 バイク","6.50","148","00:27:14","95","135","0.6","14.3","27.1","73","59","0.0","-2","28.0","いいえ","00:10:03","2","30.0","--","--","--","00:23:19","00:27:14","11","43"
屋内バイク,2026-02-03 13:26:27,false,"屋内バイク","20.00","493","00:40:01","138","152","2.9","30.0","--","--","--","0.0","-10","--","いいえ","00:15:05","2","--","--","--","--","00:00:00","00:40:01","--","--"
屋内バイク,2026-02-03 09:43:32,false,"屋内バイク","0.00","312","00:47:13","102","147","1.7","--","--","--","--","0.0","-20","--","いいえ","00:47:13","1","--","--","--","--","00:00:00","03:01:47","--","--"
バイク,2026-02-02 18:07:36,false,"新宿区 バイク","7.00","213","00:34:53","100","156","1.3","12.0","29.1","55","44","0.0","-3","21.0","いいえ","00:06:35.4","3","28.0","--","--","--","00:28:11","00:34:53","10","42"
屋内バイク,2026-02-02 17:49:51,false,"ミドルパワートレーニング","0.00","62","00:06:46.3","116","156","0.7","--","--","--","--","0.0","-1","--","いいえ","00:06:46.3","1","--","--","--","--","00:00:00","00:06:46.3","--","--"
