アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,有酸素トレーニング効果,平均バイクケイデンス,最高ケイデンス,平均速度,最高速度,平均歩幅,平均上下動比,平均上下動,平均接地時間,平均GCTバランス,Normalized Power® (NP®),Training Stress Score®,平均パワー,最大パワー,ステップ,合計レップ数,合計セット数,Body Battery消費量,減圧,ベストラップタイム,ラップ数,平均呼吸数,最小呼吸数,最大呼吸数,移動時間,経過時間
筋力トレーニング,2026-03-25 17:28:18,false,"筋トレ","0.00","199","00:37:49","96","136","0.6","--","--","--","--","--","--","--","--","--","--","0.0","--","--","336","168","19","-2","いいえ","00:37:49","1","--","--","--","00:17:34","00:37:49"
Xトレーナー,2026-03-24 13:10:45,false,"Xトレーナー","0.00","154","00:15:09","124","137","1.2","164","200","--","--","0.00","--","--","--","--","--","0.0","--","--","2,700","--","--","-2","いいえ","00:15:09","1","--","--","--","00:00:00","00:15:09"
筋力トレーニング,2026-03-23 15:19:37,false,"筋トレ","0.00","215","00:34:38","104","147","0.8","--","--","--","--","--","--","--","--","--","--","0.0","--","--","308","154","15","-2","いいえ","00:34:38","1","--","--","--","00:17:32","00:35:41"
筋力トレーニング,2026-03-23 15:03:53,false,"筋トレ","0.00","109","00:13:42","111","143","0.8","--","--","--","--","--","--","--","--","--","--","0.0","--","--","36","18","1","-2","いいえ","00:13:42","1","--","--","--","00:13:42","00:13:42"
筋力トレーニング,2026-03-21 11:12:40,false,"筋トレ","0.00","35","00:03:55.3","115","142","0.4","--","--","--","--","--","--","--","--","--","--","0.0","--","--","18","9","1","--","いいえ","00:03:55.3","1","--","--","--","00:03:55.3","00:03:55.3"
筋力トレーニング,2026-03-18 10:42:26,false,"筋トレ","0.00","239","00:31:23","109","155","2.0","--","--","--","--","--","--","--","--","--","--","0.0","--","--","22","11","1","-4","いいえ","00:31:23","1","--","--","--","00:27:01","00:38:45"
筋力トレーニング,2026-03-14 11:15:29,false,"筋トレ","0.00","19","00:02:24.4","114","128","0.2","--","--","--","--","--","--","--","--","--","--","0.0","--","--","90","45","1","--","いいえ","00:02:24.4","1","23","17","28","00:02:24.4","00:03:03.2"
筋力トレーニング,2026-03-10 16:53:58,false,"筋トレ","0.00","112","00:21:40","93","128","0.3","--","--","--","--","--","--","--","--","--","--","0.0","--","--","242","121","15","-2","いいえ","00:21:40","1","--","--","--","00:11:53","00:21:40"
筋力トレーニング,2026-03-07 14:02:25,false,"筋トレ","0.00","101","00:12:51","112","143","0.9","--","--","--","--","--","--","--","--","--","--","0.0","--","--","40","20","1","--","いいえ","00:12:51","1","24","14","36","00:12:51","00:12:51"
筋力トレーニング,2026-03-04 11:48:26,false,"筋トレ","0.00","19","00:02:03.0","118","141","0.3","--","--","--","--","--","--","--","--","--","--","0.0","--","--","12","6","1","--","いいえ","00:02:03.0","1","24","19","28","00:02:03.0","00:02:03.0"
