アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,有酸素トレーニング効果,平均ピッチ,最高ピッチ,平均ペース,最高ペース,総上昇量,総下降量,平均歩幅,平均上下動比,平均上下動,平均接地時間,平均GCTバランス,勾配調整後のペース（GAP）平均,Normalized Power® (NP®),Training Stress Score®,平均パワー,最大パワー,ステップ,Body Battery消費量,最低気温,減圧,ベストラップタイム,ラップ数,最高気温,平均呼吸数,最小呼吸数,最大呼吸数,移動時間,経過時間,最低高度,最高高度
トレッドミル,2026-02-28 15:55:24,false,"トレッドミル","8.00","529","00:40:04","147","156","3.1","170","188","5:01","4:34","--","--","1.06","9.5","10.2","221","左 50.7%／右 49.3%","--","268","0.0","263","548","6,766","--","--","いいえ","00:40:04","1","--","36","16","51","00:38:52","00:40:35","--","--"
トレッドミル,2026-02-25 18:17:38,false,"トレッドミル","2.00","110","00:08:02.5","151","162","2.1","175","181","4:01","4:44","--","--","1.11","9.2","10.4","206","左 51.1%／右 48.9%","--","282","0.0","278","334","1,402","-1","--","いいえ","00:08:02.5","1","--","29","21","38","00:07:57","00:08:02.5","--","--"
トレッドミル,2026-02-25 18:00:09,false,"トレッドミル","1.93","137","00:12:04","129","148","1.8","160","173","6:15","5:23","--","--","1.00","10.8","11.1","233","左 50.3%／右 49.7%","--","258","0.0","248","287","1,916","-2","--","いいえ","00:12:04","1","--","32","24","45","00:11:37","00:12:04","--","--"
トレッドミル,2026-02-25 13:20:17,false,"トレッドミル","4.04","294","00:21:44","147","167","3.0","173","182","5:23","4:47","--","--","1.08","9.8","10.7","215","左 51.1%／右 48.9%","--","274","0.0","273","304","3,722","-6","--","いいえ","00:01:34.7","5","--","34","25","43","00:21:43","00:21:44","--","--"
ラン,2026-02-24 10:28:31,false,"渋谷区 ラン","5.96","378","00:31:49","137","164","2.6","165","175","5:20","3:24","59","58","1.13","10.5","11.8","224","左 50.2%／右 49.8%","5:19","310","0.0","304","528","5,210","-8","22.0","いいえ","00:05:04.8","6","28.0","31","22","46","00:31:45","00:34:03","-2","24"
トレッドミル,2026-02-21 15:42:17,false,"トレッドミル","1.79","129","00:10:00","140","162","2.1","175","188","5:35","4:33","--","--","1.02","9.6","10.0","227","左 50.6%／右 49.4%","--","261","0.0","261","298","1,734","-2","--","いいえ","00:01:16.3","4","--","33","15","42","00:09:59.7","00:10:00","--","--"
ラン,2026-02-17 19:12:46,false,"渋谷区 ラン","7.70","475","00:41:21","130","158","2.8","172","192","5:22","3:37","105","89","1.09","9.9","10.9","220","左 50.5%／右 49.5%","5:20","306","0.0","299","468","7,068","-7","19.0","いいえ","00:03:46.4","8","29.0","35","21","47","00:41:15","00:43:48","-2","35"
トレッドミル,2026-02-16 16:19:05,false,"トレッドミル","5.92","400","00:31:01","140","150","3.0","166","174","5:14","5:02","--","--","1.15","8.5","9.8","267","--","--","277","0.0","276","295","5,162","-7","--","いいえ","00:05:50.8","2","--","--","--","--","00:31:01","00:31:01","--","--"
トレッドミル,2026-02-11 18:19:20,false,"トレッドミル","0.05","32","00:02:11.4","155","166","1.0","41","138","44:55","12:46","--","--","0.59","19.5","11.0","402","左 50.8%／右 49.2%","--","57","0.0","45","171","74","--","--","いいえ","00:00:36.8","2","--","32","24","38","00:01:04","00:02:11.4","--","--"
トレッドミル,2026-02-11 17:46:25,false,"エリプティカル","0.03","346","00:23:40","154","167","3.3","206","235","--","3:38","--","--","1.02","2.3","2.3","269","左 49.3%／右 50.7%","--","264","0.0","245","402","4,336","-6","--","いいえ","00:00:46.5","2","--","44","19","54","00:23:17","00:23:40","--","--"
トレッドミル,2026-02-11 17:23:51,false,"トレッドミル","2.82","216","00:15:13","148","154","2.6","169","175","5:24","5:13","--","--","1.09","10.0","11.2","219","左 50.4%／右 49.6%","--","276","0.0","276","303","2,564","--","--","いいえ","00:15:13","1","--","35","22","42","00:15:13","00:15:13","--","--"
トレッドミル,2026-02-11 16:49:36,false,"トレッドミル","2.02","142","00:12:01","131","145","2.0","165","177","5:57","5:07","--","--","1.02","10.4","10.7","237","左 50.2%／右 49.8%","--","260","0.0","255","298","1,980","-3","--","いいえ","00:12:01","1","--","31","13","38","00:11:55","00:12:01","--","--"
トレッドミル,2026-02-09 12:58:55,false,"トレッドミル","5.28","354","00:30:10","132","142","2.4","169","178","5:43","5:16","--","--","1.04","10.2","10.8","234","左 50.4%／右 49.6%","--","267","0.0","266","296","5,078","-8","--","いいえ","00:30:10","1","--","36","22","45","00:30:09","00:30:10","--","--"
屋内ラン,2026-02-09 12:20:14,false,"トレッドミル","3.76","294","00:30:44","121","141","1.8","171","211","8:10","4:46","--","--","0.72","5.0","3.7","348","左 49.6%／右 50.4%","--","127","0.0","124","252","5,190","-14","--","いいえ","00:30:44","1","--","30","19","38","00:30:41","00:30:44","--","--"
トレッドミル,2026-02-08 16:19:13,false,"トレッドミル","4.00","274","00:22:11","133","148","2.4","171","179","5:33","4:39","--","--","1.14","9.1","10.6","230","左 50.3%／右 49.7%","--","284","0.0","283","309","3,772","-6","--","いいえ","00:10:10","2","--","36","19","45","00:22:10","00:22:11","--","--"
ラン,2026-02-07 19:43:51,false,"渋谷区 ラン","6.01","355","00:32:24","125","164","2.4","164","180","5:23","3:22","70","65","1.13","10.3","11.7","224","左 49.9%／右 50.1%","5:21","308","0.0","299","545","5,246","-4","18.0","いいえ","00:00:47.3","16","29.0","31","14","48","00:32:08","00:39:31","8","45"
トレッドミル,2026-02-05 13:30:55,false,"トレッドミル","4.72","479","00:45:25","129","162","2.5","96","188","9:37","4:31","--","--","1.14","8.4","9.6","264","--","--","236","0.0","149","319","4,464","-10","--","いいえ","00:05:00.2","4","--","--","--","--","00:25:00","00:45:29","--","--"
ラン,2026-02-04 04:46:48,false,"ラン","6.35","--","00:51:47","135","149","--","130","193","8:09","4:18","--","--","0.89","9.7","7.7","297","--","--","235","0.0","176","333","--","-12","--","いいえ","00:51:47","1","--","--","--","--","00:38:19","00:51:46","--","--"
トレッドミル,2026-02-04 04:35:48,false,"トレッドミル","1.87","109","00:09:39","127","133","2.7","167","177","5:10","4:46","--","--","1.16","8.4","9.8","266","--","--","283","0.0","279","315","--","-3","--","いいえ","00:09:39","1","--","--","--","--","00:09:39","00:11:00","--","--"
トレッドミル,2026-02-03 13:06:10,false,"トレッドミル","3.43","200","00:18:03","128","138","2.0","169","179","5:15","4:46","--","--","1.13","8.4","9.5","261","--","--","277","0.0","272","309","3,066","-4","--","いいえ","00:18:03","1","--","--","--","--","00:17:52","00:18:03","--","--"
ラン,2026-02-01 14:32:25,false,"渋谷区 ラン","4.28","268","00:22:03","130","156","2.4","169","180","5:09","3:51","58","22","1.14","8.3","9.5","260","--","5:04","307","0.0","302","413","3,724","-7","24.0","いいえ","00:01:28.8","5","30.0","--","--","--","00:21:59","00:26:38","1","35"
