アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,有酸素トレーニング効果,平均ピッチ,最高ピッチ,平均ペース,最高ペース,総上昇量,総下降量,平均歩幅,平均上下動比,平均上下動,平均接地時間,勾配調整後のペース（GAP）平均,Normalized Power® (NP®),Training Stress Score®,平均パワー,最大パワー,ステップ,Body Battery消費量,最低気温,減圧,ベストラップタイム,ラップ数,最高気温,移動時間,経過時間,最低高度,最高高度
ラン,2026-01-01 10:13:36,false,"渋谷区 ラン","3.05","190","00:15:49","132","148","2.0","168","179","5:11","4:27","29","25","1.15","8.3","9.6","261","5:08","307","0.0","298","423","2,690","-4","21.0","いいえ","00:15:49","1","26.0","00:15:46","00:16:01","18","43"
ラン,2026-01-02 15:15:35,false,"北本市 ラン","8.82","503","00:39:52","136","157","2.9","167","180","4:31","3:55","43","59","1.31","7.8","10.2","249","4:33","329","0.0","328","526","6,706","-9","21.0","いいえ","00:17:51","2","27.0","00:39:44","00:43:45","9","37"
ラン,2026-01-03 13:23:23,false,"千代田区 ラン","8.79","517","00:44:27","125","151","2.6","165","176","5:03","4:06","77","36","1.18","8.3","9.8","262","5:02","308","0.0","306","443","7,430","-8","18.0","いいえ","00:44:27","1","27.0","00:44:17","00:52:43","20","56"
ラン,2026-01-03 14:21:45,false,"港区 ラン","1.48","92","00:07:16.4","135","141","1.4","166","173","4:54","3:16","6","5","1.23","8.2","10.1","260","4:56","313","0.0","309","477","1,210","--","17.0","いいえ","00:07:16.4","1","19.0","00:07:16.4","00:07:16.4","25","30"
ラン,2026-01-04 16:41:20,false,"渋谷区 ラン","6.14","365","00:32:12","126","157","2.3","167","196","5:14","3:49","74","74","1.14","8.4","9.6","262","5:10","313","0.0","294","569","5,390","-6","20.0","いいえ","00:00:52.6","5","29.0","00:32:05","00:34:55","16","51"
ラン,2026-01-05 07:30:52,false,"渋谷区 ラン","9.88","595","00:49:28","131","150","2.8","171","185","5:00","3:17","73","68","1.16","8.1","9.4","255","4:59","305","0.0","299","481","8,496","-12","18.0","いいえ","00:49:28","1","29.0","00:49:19","00:55:02","13","45"
ラン,2026-01-07 06:57:15,false,"渋谷区 ラン","3.17","192","00:17:01","126","147","2.0","164","174","5:22","4:05","21","24","1.13","8.7","9.8","271","5:23","294","0.0","281","417","2,798","-4","28.0","いいえ","00:17:01","1","31.0","00:16:54","00:17:01","13","37"
トレッドミル,2026-01-07 11:55:00,false,"トレッドミル","2.00","127","00:10:45","132","146","1.9","170","176","5:23","--","--","--","0.00","--","--","--","--","--","0.0","--","--","1,824","-2","--","いいえ","00:05:07.3","2","--","00:00:00","00:10:45","--","--"
ラン,2026-01-07 12:13:50,false,"葛飾区 ラン","1.93","115","00:08:48.6","135","145","1.9","164","175","4:34","2:44","17","2","1.36","7.8","10.7","254","4:23","348","0.0","347","520","1,436","-2","20.0","いいえ","00:01:39.6","5","26.0","00:08:47.2","00:10:02","1","19"
ラン,2026-01-07 12:25:38,false,"葛飾区 ラン","0.55","29","00:02:25.4","129","153","0.5","163","207","4:27","2:34","17","13","1.34","7.8","9.8","258","4:15","408","0.0","356","725","386","-1","19.0","いいえ","00:00:21.1","4","20.0","00:02:25.1","00:02:25.4","5","16"
ラン,2026-01-07 12:28:59,false,"葛飾区 ラン","8.02","452","00:29:25","158","166","3.5","176","183","3:40","3:00","15","5","1.54","6.6","10.2","217","3:40","400","0.0","399","492","5,122","-6","14.0","いいえ","00:00:03.4","21","19.0","00:29:18","00:29:25","-3","8"
ラン,2026-01-07 13:02:43,false,"葛飾区 ラン","1.75","104","00:09:11.5","125","133","1.2","166","177","5:16","4:19","13","5","1.13","8.4","9.5","263","5:16","281","0.0","283","413","1,552","-2","15.0","いいえ","00:09:11.5","1","15.0","00:09:10","00:11:05","3","9"
ラン,2026-01-08 07:08:41,false,"渋谷区 ラン","7.74","453","00:40:52","124","149","2.3","165","202","5:17","3:39","83","75","1.13","8.5","9.6","264","5:15","295","0.0","287","447","6,838","-10","21.0","いいえ","00:40:52","1","32.0","00:40:30","00:45:02","10","40"
ラン,2026-01-09 08:09:52,false,"渋谷区 ラン","9.98","588","00:50:40","129","151","2.6","168","183","5:05","3:17","71","77","1.17","8.3","9.7","261","5:03","301","0.0","296","461","8,540","-13","19.0","いいえ","00:50:40","1","29.0","00:50:34","00:55:37","15","45"
ラン,2026-01-10 09:42:18,false,"渋谷区 ラン","2.64","159","00:11:22","143","156","2.2","167","178","4:19","3:52","16","22","1.38","7.6","10.5","246","4:19","359","0.0","351","502","1,898","-3","23.0","いいえ","00:00:58.5","7","24.0","00:11:19","00:11:22","16","35"
トラックラン,2026-01-10 10:23:15,false,"渋谷区 - 1×40×(1′High/30″Low)[–]","720","35","00:02:40.3","143","161","0.9","176","192","3:43","2:38","1","--","1.55","6.7","9.6","227","--","434","0.0","401","553","462","--","22.0","いいえ","00:00:10.3","4","23.0","00:02:40","00:02:40.3","32","33"
トラックラン,2026-01-10 10:27:31,false,"渋谷区 トラックラン","110","2","00:00:15.3","110","111","0.3","185","218","2:19","2:14","--","--","1.91","5.2","9.3","208","--","--","0.0","503","649","40","--","23.0","いいえ","00:00:15.3","1","23.0","00:00:14","00:00:15.3","33","33"
トラックラン,2026-01-10 10:36:14,false,"渋谷区 トラックラン","8,150","444","00:31:57","152","180","3.3","167","220","3:55","2:47","1","--","1.46","6.8","9.2","223","--","401","0.0","353","593","5,340","-6","20.0","いいえ","00:00:37.0","23","22.0","00:31:46","00:31:57","33","34"
トラックラン,2026-01-10 11:29:24,false,"渋谷区 トラックラン","480","18","00:02:38.6","103","118","0.2","132","226","5:30","1:57","--","--","1.10","6.7","6.4","206","--","245","0.0","211","683","328","--","23.0","いいえ","00:00:19.4","3","24.0","00:02:38","00:02:38.6","37","37"
ラン,2026-01-10 11:39:43,false,"渋谷区 ラン","3.22","220","00:18:12","138","150","2.1","161","172","5:39","4:44","38","33","1.10","9.0","9.9","278","5:32","290","0.0","283","438","2,934","-3","22.0","いいえ","00:00:07.1","9","24.0","00:18:10","00:18:12","31","48"
ラン,2026-01-12 09:06:05,false,"渋谷区 ラン","13.55","816","01:16:22","124","144","2.7","166","222","5:38","4:18","101","102","1.06","8.8","9.4","271","5:38","272","0.0","266","412","12,728","-23","20.0","いいえ","00:17:47","4","29.0","01:16:09","01:23:05","17","46"
ラン,2026-01-13 08:41:01,false,"渋谷区 ラン","9.72","600","00:48:56","134","151","2.9","171","220","5:02","3:55","78","72","1.15","8.1","9.3","255","5:02","313","0.0","303","471","8,410","-11","20.0","いいえ","00:03:19.6","10","28.0","00:48:49","00:53:28","18","48"
ラン,2026-01-14 09:23:35,false,"渋谷区 ラン","2.22","131","00:09:07.8","144","157","2.1","174","188","4:07","2:57","8","9","1.38","7.3","9.9","235","4:08","364","0.0","362","547","1,584","-3","20.0","いいえ","00:00:49.1","6","23.0","00:09:06.1","00:09:07.8","38","45"
トラックラン,2026-01-14 09:46:41,false,"渋谷区 トラックラン","760","48","00:04:18.8","127","140","0.5","130","217","5:40","2:08","--","--","1.17","7.6","8.0","259","--","236","0.0","215","622","610","-1","21.0","いいえ","00:00:14.7","6","23.0","00:04:16.2","00:04:18.8","33","37"
トラックラン,2026-01-14 09:54:00,false,"渋谷区 トラックラン","6,430","361","00:24:43","153","171","3.2","177","190","3:51","2:58","--","--","1.46","6.9","9.7","223","--","401","0.0","377","614","4,310","-5","18.0","いいえ","00:00:05.6","17","22.0","00:24:39","00:24:43","33","33"
ラン,2026-01-16 08:26:47,false,"渋谷区 ラン","1.27","77","00:06:57.9","117","142","0.9","171","177","5:30","4:48","14","1","1.07","8.5","9.0","263","5:22","295","0.0","285","472","1,186","-2","27.0","いいえ","00:01:27.8","2","29.0","00:06:57.0","00:06:57.9","18","32"
ラン,2026-01-17 09:37:14,false,"渋谷区 ラン","5.30","314","00:29:27","120","141","2.1","166","185","5:34","3:37","28","21","1.08","8.7","9.3","268","5:33","275","0.0","270","449","4,922","-7","24.0","いいえ","00:01:41.2","6","31.0","00:29:18","00:32:49","18","34"
ラン,2026-01-24 10:03:45,false,"渋谷区 ラン","3.01","197","00:14:59","140","174","2.3","170","184","4:58","4:02","31","22","1.18","8.1","9.5","255","4:53","327","0.0","312","487","2,560","-5","21.0","いいえ","00:00:03.6","4","26.0","00:14:57","00:15:18","18","45"
ラン,2026-01-26 18:21:34,false,"葛飾区 ラン","5.71","358","00:31:11","125","146","2.5","165","180","5:28","3:17","20","14","1.10","8.6","9.4","267","5:29","272","0.0","273","441","5,212","-7","20.0","いいえ","00:04:01.7","6","29.0","00:31:07","00:44:30","3","12"
ラン,2026-01-29 16:19:32,false,"渋谷区 ラン","2.54","162","00:13:19","133","153","2.1","166","173","5:15","4:45","20","6","1.15","8.5","9.8","267","5:10","304","0.0","295","414","2,202","-2","25.0","いいえ","00:02:46.9","3","28.0","00:13:18","00:13:19","18","36"
