"","インターバル","ステップタイプ","ラップ","タイム","累積時間","距離","平均ペース","平均心拍数","最大心拍数","平均ピッチ","平均接地時間","平均GCTバランス","平均歩幅","平均上下動","平均上下動比","Normalized Power® (NP®)","平均パワー","平均W/kg","最大パワー","最大W/kg","カロリー","最高ペース","最高ピッチ","移動時間","平均移動ペース"
"","1","ラン","1","3:30","3:30","0.90","3:53","145","159","177","197","左 50.5%／右 49.5%","1.45","10.6","7.2","348","348","5.63","440","7.12","49","3:40","180","3:28","3:51"
"","","回復","2","1:00","4:30","0.02","51:07","136","160","30","367","左 50.9%／右 49.1%","1.74","3.6","4.5","223","22","0.36","346","5.60","13","3:51","219","0:10","8:32"
"","2","ラン","3","3:30","8:00","0.92","3:47","154","163","179","197","左 51.2%／右 48.8%","1.47","10.3","7.1","344","352","5.70","378","6.12","51","3:30","183","3:29","3:46"
"","","回復","4","1:00","9:00","0.10","10:03","139","162","118","353","左 52.7%／右 47.3%","0.96","2.5","2.0","226","82","1.33","350","5.66","13","3:50","215","0:46","7:42"
"","3","ラン","5","3:30","12:30","0.91","3:50","154","163","179","200","左 51.8%／右 48.3%","1.46","10.3","6.9","339","346","5.60","373","6.04","51","3:33","183","3:29","3:49"
"","","回復","6","1:00","13:30","0.06","17:42","138","163","62","348","左 51.3%／右 48.7%","1.13","4.4","3.6","216","54","0.87","354","5.73","12","3:12","219","0:26","7:40"
"","4","ラン","7","3:30","17:00","0.92","3:47","156","166","179","199","左 51.6%／右 48.4%","1.47","10.2","6.9","346","354","5.73","402","6.50","51","3:37","183","3:29","3:46"
"","","回復","8","1:00","18:00","0.08","13:17","139","164","101","409","左 51.2%／右 48.8%","1.06","2.6","2.7","229","55","0.89","345","5.58","12","3:44","178","0:47","10:25"
"","5","ラン","9","3:30","21:30","0.95","3:41","157","166","181","197","左 51.6%／右 48.4%","1.50","10.0","6.6","355","363","5.87","401","6.49","51","3:26","188","3:29","3:40"
"","","回復","10","1:00","22:30","0.06","16:23","140","164","89","379","左 49.0%／右 51.0%","0.65","2.3","2.4","226","37","0.60","365","5.91","12","3:43","178","0:45","12:17"
"","概要","--","--","22:30","22:30","5.00","4:30","150","166","157","222","左 51.3%／右 48.7%","1.40","9.1","6.3","329","285","4.61","440","7.12","314","3:12","219","20:27","4:05"
