分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:01:19.222,00:01:19.000,0.39,0,0,0:03:22  ,0:03:22  ,0:03:05  ,177.765625,182.0,167.0199951171875,141.0,158.0,33,18
2,00:00:49.850,00:00:49.850,0.2,0,0,0:04:03  ,0:04:09  ,0:03:15  ,169.375,180.0,158.74000244140626,157.0,159.0,32,13
3,00:01:18.113,00:01:18.113,0.4,0,0,0:03:15  ,0:03:15  ,0:03:06  ,179.4375,183.0,165.14000244140627,161.0,165.0,31,21
4,00:00:50.936,00:00:50.000,0.2,0,0,0:04:18  ,0:04:10  ,0:03:08  ,169.34375,180.0,156.58000488281252,163.0,166.0,30,13
5,00:01:19.075,00:01:19.075,0.4,0,0,0:03:17  ,0:03:17  ,0:03:18  ,179.03125,181.0,164.39000244140627,166.0,169.0,30,22
6,00:00:51.974,00:00:51.000,0.2,0,0,0:04:14  ,0:04:15  ,0:03:18  ,169.390625,178.0,153.35999755859376,166.0,169.0,30,14
7,00:01:17.945,00:01:17.945,0.4,0,0,0:03:14  ,0:03:14  ,0:03:14  ,178.953125,181.0,165.4199951171875,168.0,172.0,29,22
8,00:00:49.883,00:00:49.000,0.2,0,0,0:04:11  ,0:04:05  ,0:03:07  ,169.859375,179.0,158.05999755859375,169.0,172.0,29,13
9,00:01:20.097,00:01:20.097,0.4,0,0,0:03:20  ,0:03:20  ,0:03:18  ,177.734375,180.0,162.3699951171875,171.0,173.0,28,22
10,00:00:49.949,00:00:49.000,0.2,0,0,0:04:06  ,0:04:05  ,0:03:11  ,169.65625,181.0,159.84000244140626,170.0,173.0,29,13
11,00:01:20.736,00:01:20.736,0.4,0,0,0:03:21  ,0:03:21  ,0:03:14  ,177.25,179.0,163.89000244140627,171.0,173.0,29,23
12,00:00:53.683,00:00:53.000,0.2,0,0,0:04:30  ,0:04:25  ,0:03:17  ,166.03125,177.0,150.9199951171875,168.0,173.0,28,14
13,00:04:55.956,00:01:23.000,0.09,0,0,0:55:00  ,0:15:22  ,0:04:04  ,75.09375,234.0,40.83999938964844,117.0,165.0,30,28
14,00:00:42.075,00:00:42.000,0.2,0,0,0:03:28  ,0:03:30  ,0:03:18  ,174.421875,177.0,158.25999755859377,145.0,158.0,31,9
15,00:00:56.947,00:00:56.947,0.2,0,0,0:04:51  ,0:04:44  ,0:03:31  ,166.859375,173.0,137.04000244140624,158.0,160.0,31,14
16,00:01:24.464,00:01:24.000,0.4,0,0,0:03:31  ,0:03:30  ,0:03:31  ,176.375,178.0,155.6199951171875,163.0,166.0,30,22
17,00:01:00.840,00:01:00.840,0.2,0,0,0:04:58  ,0:05:04  ,0:03:32  ,164.21875,173.0,129.54000244140624,161.0,166.0,30,15
18,00:01:25.207,00:01:25.207,0.4,0,0,0:03:33  ,0:03:33  ,0:03:07  ,176.390625,179.0,155.0199951171875,164.0,169.0,30,23
19,00:00:53.350,00:00:52.000,0.19,0,0,0:04:36  ,0:04:33  ,0:03:31  ,167.3125,171.0,144.59000244140626,166.0,169.0,30,14
20,00:01:20.908,00:01:20.908,0.4,0,0,0:03:22  ,0:03:22  ,0:03:19  ,178.25,181.0,158.9,168.0,170.0,30,22
21,00:00:01.189,00:00:01.000,0.01,0,0,0:03:22  ,0:01:40  ,0:03:19  ,170.0,173.0,177.5,170.0,170.0,30,1
Summary,00:25:42.399,00:22:02.718,5.68,0,0,0:04:31  ,0:03:52  ,0:03:05  ,155.015625,234.0,144.20000000000002,154.0,173.0,29.99,356
