アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,有酸素トレーニング効果,平均バイクケイデンス,最高ケイデンス,平均速度,最高速度,総上昇量,総下降量,平均歩幅,平均上下動比,平均上下動,平均接地時間,平均GCTバランス,勾配調整後のペース（GAP）平均,Normalized Power® (NP®),Training Stress Score®,平均パワー,最大パワー,ステップ,合計レップ数,合計セット数,Body Battery消費量,最低気温,減圧,ベストラップタイム,ラップ数,最高気温,平均呼吸数,最小呼吸数,最大呼吸数,ストレス変化,ストレス開始,ストレス終了,平均ストレス,最大ストレス,移動時間,経過時間,最低高度,最高高度
Elliptical,2026-04-16 16:44:29,false,"Xトレーナー","0.00","568","01:10:20","117","133","2.1","165","187","--","--","--","--","0.00","--","--","--","--","--","--","0.0","--","--","11,980","--","--","-7","--","いいえ","00:04:58.4","7","--","30","17","45","--","--","--","--","--","00:00:00","01:12:31","--","--"
Track Running,2026-04-15 19:25:04,false,"1 × 1 × 10000m (@3'40" )","10,000","584","00:37:05","163","171","4.1","178","183","3:43","3:22","--","--","1.55","6.5","10.4","189","左 51.4%／右 48.6%","--","377","0.0","377","431","6,496","--","--","-4","21.0","いいえ","00:01:26.1","25","25.0","34","18","43","--","--","--","--","--","00:37:00","00:37:05","19","23"
Track Running,2026-04-15 19:09:46,false,"松戸市 トラックラン","940","62","00:04:48.4","143","164","1.3","156","209","5:07","2:13","--","--","1.31","8.9","10.2","206","左 51.4%／右 48.6%","--","330","0.0","287","577","668","--","--","--","23.0","いいえ","00:00:21.7","6","24.0","31","26","39","--","--","--","--","--","00:04:47.3","00:04:48.4","20","23"
Running,2026-04-15 18:26:00,false,"松戸市 ラン","2.21","139","00:11:09","139","156","2.0","161","172","5:02","3:56","15","31","1.23","8.5","10.4","269","--","5:05","305","0.0","293","422","1,800","--","--","-1","25.0","いいえ","00:11:09","1","26.0","--","--","--","--","--","--","--","--","00:11:07","00:11:09","6","27"
Treadmill Running,2026-04-15 12:16:25,false,"1×(3 - 1)×1000m (3′35″ - 3′45″ ) [30"]@TM (1.5%)","3.84","249","00:16:21","161","172","3.0","160","199","4:16","3:29","--","--","1.49","6.8","10.2","193","左 50.5%／右 49.5%","--","337","0.0","312","402","2,576","--","--","-3","--","いいえ","00:00:00.6","9","--","33","21","41","--","--","--","--","--","00:14:43","00:16:21","--","--"
Running,2026-04-15 11:55:49,false,"葛飾区 ラン","2.06","131","00:09:56.6","143","163","2.1","161","174","4:49","3:27","30","41","1.29","10.6","12.8","201","左 49.8%／右 50.3%","4:43","327","0.0","320","490","1,598","--","--","-3","29.0","いいえ","00:09:56.6","1","30.0","31","21","40","--","--","--","--","--","00:09:56","00:09:56.6","77","96"
Running,2026-04-14 09:42:19,false,"渋谷区 ラン","13.26","824","01:18:00","128","149","2.7","160","188","5:53","3:55","326","298","1.07","11.6","12.3","229","左 50.2%／右 49.8%","5:40","306","0.0","295","477","12,382","--","--","-15","25.0","いいえ","00:22:23","3","30.0","31","21","44","--","--","--","--","--","01:17:54","01:21:04","13","45"
Running,2026-04-12 08:10:20,false,"東松山市 ラン","9.92","591","00:51:53","128","145","2.5","163","189","5:14","4:01","265","294","1.17","9.9","11.7","226","左 50.4%／右 49.6%","5:01","321","0.0","308","475","8,414","--","--","-12","21.0","いいえ","00:08:58.3","5","27.0","33","17","47","--","--","--","--","--","00:51:50","00:53:33","31","92"
Track Running,2026-04-11 11:18:20,false,"1×10×(1′High/30″Low)[–]","3,520","228","00:14:59","160","169","2.8","168","175","4:15","3:27","3","--","1.44","7.9","11.6","202","左 49.7%／右 50.3%","--","378","0.0","368","581","2,452","--","--","-3","30.0","いいえ","00:00:29.2","20","31.0","36","20","48","--","--","--","--","--","00:14:58","00:14:59","12","16"
Track Running,2026-04-11 10:39:24,false,"​1 × 9 × 400m (80s, 84s) [R: 200m Jog 50s]","5,680","356","00:25:42","154","173","3.1","155","234","4:32","3:06","--","--","1.44","6.7","10.0","201","左 49.6%／右 50.4%","--","391","0.0","323","620","3,854","--","--","-4","28.0","いいえ","00:00:01.2","21","33.0","34","20","43","--","--","--","--","--","00:22:03","00:25:42","3","16"
Track Running,2026-04-11 10:23:57,false,"浦和区 トラックラン","100","2","00:00:13.2","131","154","0.0","203","223","2:12","2:06","--","--","1.94","5.7","8.5","147","左 47.5%／右 52.5%","--","--","0.0","562","829","42","--","--","--","29.0","いいえ","00:00:13.2","1","30.0","22","22","22","--","--","--","--","--","00:00:13","00:00:13.2","16","16"
Track Running,2026-04-11 10:18:34,false,"浦和区 - 1×40×(1′High/30″Low)[–]","700","38","00:02:32.4","148","162","1.1","170","178","3:38","3:16","--","--","1.58","7.2","11.7","182","左 48.9%／右 51.1%","--","437","0.0","434","578","418","--","--","-1","30.0","いいえ","00:00:02.4","4","30.0","34","23","39","--","--","--","--","--","00:02:32","00:02:32.4","16","16"
