アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,有酸素トレーニング効果,平均ピッチ,最高ピッチ,平均ペース,最高ペース,総上昇量,総下降量,平均歩幅,平均上下動比,平均上下動,平均接地時間,平均GCTバランス,勾配調整後のペース（GAP）平均,Normalized Power® (NP®),Training Stress Score®,平均パワー,最大パワー,ステップ,Body Battery消費量,最低気温,減圧,ベストラップタイム,ラップ数,最高気温,平均呼吸数,最小呼吸数,最大呼吸数,移動時間,経過時間,最低高度,最高高度
ラン,2026-04-24 13:56:49,false,"渋谷区 ラン","0.77","48","00:04:40.6","122","137","0.5","157","171","6:05","4:50","64","29","1.04","11.9","12.4","231","左 50.6%／右 49.4%","5:36","359","0.0","327","534","730","--","24.0","いいえ","00:04:40.6","1","24.0","29","17","35","00:04:39","00:05:41.9","-6","31"
ラン,2026-04-24 13:44:12,false,"目黒区 ラン","1.24","89","00:06:57.0","141","165","1.5","151","199","5:36","2:30","111","104","1.15","9.4","9.8","217","左 50.4%／右 49.6%","5:10","504","0.0","334","884","1,012","-2","24.0","いいえ","00:00:37.9","6","25.0","34","24","41","00:06:55.5","00:06:57.0","5","51"
ラン,2026-04-24 13:09:58,false,"渋谷区 ラン","6.37","380","00:30:38","134","159","2.6","165","176","4:49","3:11","197","189","1.26","9.6","12.1","213","左 50.3%／右 49.7%","4:45","347","0.0","334","522","5,040","-5","25.0","いいえ","00:30:38","1","31.0","31","18","44","00:30:35","00:33:10","23","88"
Xトレーナー,2026-04-23 17:09:59,false,"Xトレーナー","0.00","404","00:45:01","120","133","1.9","148","188","--","--","--","--","0.00","--","--","--","--","--","--","0.0","--","--","7,212","-4","--","いいえ","00:45:01","1","--","30","14","36","00:00:00","00:48:33","--","--"
ラン,2026-04-22 16:54:02,false,"葛飾区 ラン","2.13","134","00:12:21","128","144","1.2","108","164","5:48","4:35","155","88","1.10","11.0","12.3","231","左 50.2%／右 49.8%","5:29","339","0.0","238","610","1,316","-2","23.0","いいえ","00:12:21","1","25.0","28","23","37","00:12:15","00:14:34","-8","38"
ラン,2026-04-22 16:22:11,false,"葛飾区 ラン","7.57","427","00:27:46","159","168","3.4","171","176","3:40","3:27","165","223","1.59","7.0","11.5","186","左 49.5%／右 50.5%","3:42","418","0.0","391","693","4,690","-4","25.0","いいえ","00:01:08.4","20","27.0","32","21","40","00:27:40","00:27:46","4","80"
ラン,2026-04-22 16:07:58,false,"葛飾区 ラン","2.14","116","00:09:33.7","128","155","1.8","163","234","4:29","3:00","32","29","1.34","9.8","12.9","203","左 49.2%／右 50.8%","4:28","330","0.0","332","510","1,532","-2","27.0","いいえ","00:00:17.2","3","30.0","30","23","35","00:09:33","00:11:44","16","34"
トレッドミル,2026-04-22 10:05:25,false,"トレッドミル","4.00","223","00:15:01","156","168","2.8","176","179","3:45","3:46","--","--","1.40","7.5","10.7","201","左 51.7%／右 48.3%","--","325","0.0","321","363","2,630","-3","--","いいえ","00:15:01","1","--","33","22","40","00:15:01","00:15:01","--","--"
ラン,2026-04-21 12:00:44,false,"渋谷区 ラン","10.55","641","00:55:34","131","148","2.8","161","168","5:16","4:27","360","363","1.18","10.3","12.4","221","左 50.7%／右 49.3%","5:12","332","0.0","318","561","8,958","-11","25.0","いいえ","00:55:34","1","27.0","31","14","42","00:55:33","00:55:34","-2","53"
Xトレーナー,2026-04-20 16:31:05,false,"Xトレーナー","0.00","449","00:50:21","120","132","2.0","166","192","--","--","--","--","0.00","--","--","--","--","--","--","0.0","--","--","8,562","-5","--","いいえ","00:05:04.6","3","--","30","18","41","00:00:00","00:51:56","--","--"
バイク,2026-04-20 11:12:32,false,"渋谷区 バイク","3.97","90","00:22:51","85","114","0.1","--","--","10.4","27.3","231","274","--","--","--","--","--","--","--","0.0","--","--","--","-1","27.0","いいえ","00:22:51","1","30.0","18","12","25","00:17:01","00:22:51","-30","56"
ラン,2026-04-20 10:21:09,false,"渋谷区 ラン","8.30","504","00:41:45","137","151","2.6","163","169","5:02","4:17","297","296","1.22","9.8","12.2","214","左 50.5%／右 49.5%","4:48","338","0.0","316","592","6,774","-8","25.0","いいえ","00:13:26","2","27.0","29","17","38","00:41:45","00:41:45","-25","43"
