"","インターバル","ステップタイプ","ラップ","タイム","累積時間","距離","平均ペース","勾配調整後のペース（GAP）平均","平均心拍数","最大心拍数","総上昇量","総下降量","平均ピッチ","平均接地時間","平均GCTバランス","平均歩幅","平均上下動","平均上下動比","Normalized Power® (NP®)","平均パワー","平均W/kg","最大パワー","最大W/kg","カロリー","平均気温","最高ペース","最高ピッチ","移動時間","平均移動ペース"
"","1","ラン","1 - 3","3:30.8","3:30.8","1.00","3:31","3:19","156","163","35","6","172","190","左 51.0%／右 49.0%","1.65","11.1","6.7","491","453","7.33","664","10.74","54","26.0","3:10","176","3:28","3:28"
"","","ラン","1","1:23.3","1:23.3","0.40","3:28","3:03","148","158","28","0","172","187","左 50.3%／右 49.7%","1.64","11.0","6.8","595","537","8.69","664","10.74","21","26.0","3:13","176","1:23","3:27"
"","","ラン","2","1:21.2","2:44.5","0.40","3:23","3:15","160","163","7","1","174","187","左 51.3%／右 48.7%","1.70","10.9","6.2","430","428","6.93","486","7.86","21","26.0","3:10","176","1:21","3:23"
"","","ラン","3","0:46.3","3:30.8","0.20","3:51","4:05","161","163","0","5","168","199","左 51.5%／右 48.5%","1.57","11.7","7.3","374","345","5.58","437","7.07","12","25.0","3:18","174","0:46","3:50"
"","","回復","4","1:02.5","4:33.3","0.20","5:12","5:12","155","163","0","10","160","218","左 50.7%／右 49.3%","1.30","12.7","9.5","296","268","4.34","401","6.49","15","25.0","3:27","172","1:02","5:10"
"","2","ラン","5 - 7","3:35.0","8:08.3","1.00","3:35","3:34","160","166","13","6","171","189","左 50.4%／右 49.6%","1.60","11.3","6.9","404","401","6.49","530","8.58","56","25.0","3:17","174","3:34","3:34"
"","","ラン","5","1:25.8","5:59.1","0.40","3:35","3:46","156","162","5","2","171","187","左 50.1%／右 49.9%","1.53","11.4","7.4","354","374","6.05","481","7.78","22","25.0","3:20","174","1:25.8","3:34"
"","","ラン","6","1:26.1","7:25.2","0.40","3:35","3:28","163","165","6","3","171","189","左 50.3%／右 49.7%","1.65","11.3","6.6","430","415","6.72","530","8.58","23","25.0","3:17","173","1:26","3:35"
"","","ラン","7","0:43.1","8:08.3","0.20","3:35","3:24","165","166","3","1","172","194","左 51.2%／右 48.8%","1.64","11.1","6.5","430","427","6.91","529","8.56","12","24.0","3:25","174","0:43","3:35"
"","","回復","8","1:09.2","9:17.5","0.20","5:46","6:02","155","166","2","17","160","234","左 50.8%／右 49.2%","1.15","12.2","10.4","300","235","3.80","411","6.65","16","24.0","3:30","173","1:08","5:40"
"","3","ラン","9 - 11","3:37.4","12:55","1.00","3:37","3:43","162","167","4","9","172","187","左 50.0%／右 50.0%","1.57","11.1","7.0","370","370","5.99","483","7.82","56","25.0","3:17","176","3:36","3:36"
"","","ラン","9","1:27.5","10:45","0.40","3:39","3:59","158","165","0","2","172","188","左 49.5%／右 50.5%","1.49","11.3","7.5","335","347","5.61","393","6.36","22","25.0","3:26","175","1:27.5","3:39"
"","","ラン","10","1:26.4","12:11","0.40","3:36","3:32","164","166","3","4","174","187","左 50.2%／右 49.8%","1.63","11.0","6.5","376","384","6.21","483","7.82","23","25.0","3:17","176","1:26","3:35"
"","","ラン","11","0:43.5","12:55","0.20","3:37","3:37","164","167","1","2","172","186","左 50.6%／右 49.4%","1.62","11.3","6.8","412","387","6.26","418","6.76","11","24.0","3:33","174","0:43","3:35"
"","","回復","12","0:04.3","12:59","0.02","3:25","3:45","164","165","0","0","166","208","左 50.4%／右 49.6%","1.76","11.3","6.5","372","355","5.74","358","5.79","1","24.0","3:37","172","0:04","3:12"
"","概要","--","--","12:59","12:59","3.42","3:48","3:46","159","167","54","48","170","195","左 50.5%／右 49.5%","1.54","11.4","7.4","411","381","6.17","664","10.74","199","25.0","3:10","176","12:57","3:47"
