"ラップ数","タイム","累積時間","距離
m","平均ペース
分／km","勾配調整後のペース（GAP）平均
分／km","平均心拍数
bpm","最大心拍数
bpm","総上昇量
m","総下降量
m","平均パワー
W","平均W/kg","最大パワー
W","最大W/kg","平均ピッチ
spm","平均接地時間
ms","平均GCTバランス
%","平均歩幅
m","平均上下動
cm","平均上下動比
%","カロリー
C","平均気温","最高ペース
分／km","最高ピッチ
spm","移動時間","平均移動ペース
分／km","平均ステップスピードロス
cm/秒","平均ステップスピードロス率
%"
"1","1:28.1","1:28.1","390","3:46","--","131","146","0","0","444","7.18","506","8.19","179","181","左 50.0%／右 50.0%","1.50","10.7","7.0","18","23.0","3:33","183","1:27","3:43","--","--"
"2","1:27.6","2:55.7","400","3:39","--","148","151","0","0","392","6.34","484","7.83","179","188","左 51.1%／右 48.9%","1.50","10.3","6.6","22","23.0","3:37","182","1:27.6","3:39","--","--"
"3","1:27.5","4:23.2","400","3:39","--","151","154","0","0","371","6.00","421","6.81","180","185","左 51.4%／右 48.6%","1.50","10.2","6.6","22","22.0","3:39","182","1:27.5","3:39","--","--"
"4","1:27.6","5:50.8","400","3:39","--","153","155","0","0","351","5.68","422","6.83","180","187","左 51.2%／右 48.8%","1.49","10.1","6.5","22","22.0","3:41","182","1:27","3:37","--","--"
"5","1:28.4","7:19.2","400","3:41","--","154","156","0","0","363","5.87","416","6.73","181","188","左 51.2%／右 48.8%","1.47","9.9","6.5","22","22.0","3:42","183","1:28.4","3:41","--","--"
"6","1:27.8","8:47.0","400","3:39","--","154","157","0","0","371","6.00","406","6.57","181","189","左 51.1%／右 48.9%","1.49","9.9","6.4","22","22.0","3:40","183","1:27","3:37","--","--"
"7","1:27.8","10:15","400","3:40","--","155","157","0","0","362","5.86","413","6.68","181","186","左 50.7%／右 49.3%","1.50","9.9","6.4","22","21.0","3:40","182","1:27","3:37","--","--"
"8","1:28.1","11:43","400","3:40","--","155","158","0","0","371","6.00","422","6.83","180","186","左 51.0%／右 49.0%","1.51","10.0","6.4","22","21.0","3:40","182","1:28.1","3:40","--","--"
"9","1:28.0","13:11","400","3:40","--","157","158","0","0","379","6.13","438","7.09","180","188","左 51.1%／右 48.9%","1.51","10.0","6.4","22","21.0","3:38","183","1:28.0","3:40","--","--"
"10","1:27.7","14:39","400","3:39","--","157","159","0","0","390","6.31","445","7.20","180","188","左 50.8%／右 49.2%","1.52","10.0","6.3","22","21.0","3:38","183","1:27.7","3:39","--","--"
"11","1:28.0","16:07","400","3:40","--","156","158","0","0","392","6.34","473","7.65","181","186","左 50.9%／右 49.1%","1.52","10.0","6.3","22","21.0","3:37","183","1:28.0","3:40","--","--"
"12","1:26.8","17:33","400","3:37","--","156","158","0","0","389","6.29","470","7.61","181","187","左 50.9%／右 49.1%","1.53","10.0","6.3","22","21.0","3:37","182","1:26.8","3:37","--","--"
