アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,有酸素トレーニング効果,平均ピッチ,最高ピッチ,平均ペース,最高ペース,総上昇量,総下降量,平均歩幅,平均上下動比,平均上下動,平均接地時間,平均GCTバランス,勾配調整後のペース（GAP）平均,Normalized Power® (NP®),Training Stress Score®,平均パワー,最大パワー,ステップ,合計レップ数,合計セット数,Body Battery消費量,最低気温,減圧,ベストラップタイム,ラップ数,最高気温,平均呼吸数,最小呼吸数,最大呼吸数,ストレス変化,ストレス開始,ストレス終了,平均ストレス,最大ストレス,移動時間,経過時間,最低高度,最高高度
ラン,2026-05-08 17:19:00,false,目黒区 ラン,"1,143",76.0,00:06:17,131.0,144.0,1.0,157.5625,165.0,5:30,4:44,20.0,21.0,--,10.75,12.5,220.5,--,--,--,--,--,--,--,--,--,--,27.0,--,--,1,27.0,--,--,--,--,--,--,--,--,00:06:16,00:07:22,3.200000047683716,22.799999237060547
ラン,2026-05-08 17:12:39,false,目黒区 ラン,846,63.0,00:04:27,149.0,165.0,1.2000000476837158,155.765625,221.0,5:16,2:16,29.0,24.0,--,9.779999732971191,10.4,210.1999969482422,--,--,--,--,--,--,--,--,--,--,27.0,--,--,6,28.0,--,--,--,--,--,--,--,--,00:04:26,00:04:27,0.0,16.799999237060547
ラン,2026-05-08 16:54:23,false,渋谷区 ラン,"3,571",215.0,00:16:28,137.0,158.0,2.299999952316284,162.109375,169.0,4:36,3:50,46.0,59.0,--,9.390000343322754,12.740000152587891,209.60000610351562,--,--,--,--,--,--,--,--,--,--,27.0,--,--,4,31.0,--,--,--,--,--,--,--,--,00:16:28,00:17:04,8.800000190734863,61.20000076293945
ラン,2026-05-12 12:14:09,false,渋谷区 ラン,"7,118",446.0,00:39:00,128.0,144.0,2.299999952316284,158.953125,171.0,5:28,3:25,490.0,333.0,--,8.880000114440918,10.05,276.6000061035156,--,--,--,--,--,--,--,--,--,--,29.0,--,--,1,33.0,--,--,--,--,--,--,--,--,00:38:53,00:41:31,-47.599998474121094,70.0
トラックラン,2026-05-10 19:32:28,false,平塚市 トラックラン,"6,790",395.0,00:24:19,167.0,171.0,3.5,177.578125,188.0,3:34,3:10,0.0,5.0,--,6.489999771118164,10.040000152587892,212.8000030517578,--,--,--,--,--,--,--,--,--,--,23.0,--,--,17,26.0,--,--,--,--,--,--,--,--,00:24:13,00:24:19,38.20000076293945,52.20000076293945
トラックラン,2026-05-10 19:26:36,false,平塚市 トラックラン,60,2.0,00:00:10,132.0,140.0,0.10000000149011612,132.578125,187.0,3:01,2:43,31.0,0.0,--,5.360000133514404,8.61999969482422,195.60000610351562,--,--,--,--,--,--,--,--,--,--,26.0,--,--,1,26.0,--,--,--,--,--,--,--,--,00:00:10,00:00:10,21.0,52.20000076293945
ラン,2026-05-10 19:05:41,false,平塚市 ラン,750,65.0,00:05:02,141.0,161.0,1.0,111.53125,202.0,6:43,2:23,38.0,25.0,--,7.380000114440918,7.519999694824219,250.0,--,--,--,--,--,--,--,--,--,--,25.0,--,--,6,27.0,--,--,--,--,--,--,--,--,00:04:46,00:05:02,13.199999809265137,38.79999923706055
ラン,2026-05-10 18:51:36,false,平塚市 ラン,762,48.0,00:03:24,148.0,157.0,1.0,163.75,170.0,4:28,3:49,24.0,5.0,--,7.96999979019165,10.70999984741211,256.6000061035156,--,--,--,--,--,--,--,--,--,--,28.0,--,--,1,30.0,--,--,--,--,--,--,--,--,00:03:22,00:03:24,41.20000076293945,60.0
ラン,2026-05-10 18:39:31,false,平塚市 ラン,"1,200",79.0,00:06:06,142.0,151.0,1.2999999523162842,161.59375,169.0,5:05,4:34,26.0,39.0,--,8.5600004196167,10.34000015258789,269.8999938964844,--,--,--,--,--,--,--,--,--,--,30.0,--,--,1,31.0,--,--,--,--,--,--,--,--,00:06:04,00:06:06,53.0,80.19999694824219
ラン,2026-05-09 20:06:20,false,目黒区 ラン,"1,039",62.0,00:05:21,124.0,144.0,0.8999999761581421,149.796875,167.0,5:09,4:00,117.0,12.0,--,8.5600004196167,10.55999984741211,270.79998779296875,--,--,--,--,--,--,--,--,--,--,24.0,--,--,1,25.0,--,--,--,--,--,--,--,--,00:05:17,00:08:06,-12.0,39.599998474121094
ラン,2026-05-09 20:00:49,false,目黒区 ラン,733,52.0,00:03:51,142.0,159.0,1.0,148.234375,209.0,5:15,3:12,42.0,40.0,--,7.860000133514404,9.5,250.1999969482422,--,--,--,--,--,--,--,--,--,--,25.0,--,--,4,25.0,--,--,--,--,--,--,--,--,00:03:51,00:03:51,15.800000190734863,45.20000076293945
ラン,2026-05-09 19:40:11,false,渋谷区 ラン,"2,669",160.0,00:13:27,126.0,147.0,2.0,156.734375,169.0,5:02,3:40,75.0,27.0,--,8.5600004196167,10.60999984741211,271.8999938964844,--,--,--,--,--,--,--,--,--,--,26.0,--,--,3,31.0,--,--,--,--,--,--,--,--,00:13:25,00:15:19,27.799999237060547,77.80000305175781
