日付,夜間HRV,ベースライン,7日平均
4月 16日,114ms,53ms - 94ms,56ms
4月 15日,55ms,53ms - 95ms,50ms
4月 14日,50ms,54ms - 96ms,49ms
4月 13日,43ms,54ms - 96ms,50ms
4月 12日,44ms,54ms - 97ms,52ms
4月 11日,61ms,54ms - 98ms,55ms
4月 10日,47ms,54ms - 98ms,56ms
4月 9日,52ms,54ms - 97ms,61ms
4月 8日,46ms,53ms - 97ms,65ms
4月 7日,63ms,53ms - 98ms,69ms
4月 6日,55ms,53ms - 96ms,74ms
4月 5日,64ms,53ms - 95ms,80ms
4月 4日,70ms,53ms - 94ms,85ms
4月 3日,89ms,52ms - 93ms,89ms
4月 2日,76ms,52ms - 92ms,89ms
4月 1日,75ms,52ms - 93ms,84ms
3月 31日,97ms,53ms - 93ms,76ms
3月 30日,96ms,53ms - 94ms,72ms
3月 29日,100ms,53ms - 94ms,68ms
3月 28日,95ms,53ms - 95ms,62ms
3月 27日,87ms,52ms - 95ms,60ms
3月 26日,52ms,52ms - 95ms,56ms
3月 25日,38ms,53ms - 95ms,54ms
3月 24日,65ms,53ms - 96ms,57ms
3月 23日,64ms,53ms - 95ms,58ms
3月 22日,53ms,53ms - 96ms,55ms
3月 21日,72ms,53ms - 96ms,53ms
3月 20日,--,54ms - 96ms,49ms
