"ラップ数","タイム","累積時間","距離
m","平均ペース
分／km","勾配調整後のペース（GAP）平均
分／km","平均心拍数
bpm","最大心拍数
bpm","総上昇量
m","総下降量
m","平均パワー
W","平均W/kg","最大パワー
W","最大W/kg","平均ピッチ
spm","平均接地時間
ms","平均GCTバランス
%","平均歩幅
m","平均上下動
cm","平均上下動比
%","カロリー
C","平均気温","最高ペース
分／km","最高ピッチ
spm","移動時間","平均移動ペース
分／km","平均ステップスピードロス
cm/秒","平均ステップスピードロス率
%"
"1","1:25.8","1:25.8","400","3:34","--","120","143","6","0","406","体重なし","465","体重なし","172","209","--","1.63","10.2","6.3","15","21.0","3:06","185","1:25.8","3:34","--","--"
"2","1:25.7","2:51.5","400","3:34","--","147","151","0","0","410","体重なし","427","体重なし","177","210","--","1.62","10.4","6.4","21","21.0","3:26","179","1:25.7","3:34","--","--"
"3","1:26.5","4:17.9","400","3:36","--","151","154","0","0","410","体重なし","430","体重なし","177","209","--","1.63","10.3","6.3","22","20.0","3:19","179","1:26","3:35","--","--"
"4","1:25.1","5:43.0","400","3:33","--","153","154","0","0","407","体重なし","421","体重なし","176","211","--","1.61","10.4","6.4","22","19.0","3:29","179","1:25","3:33","--","--"
"5","1:27.8","7:10.8","400","3:39","--","154","155","0","0","406","体重なし","423","体重なし","177","211","--","1.60","10.3","6.4","23","19.0","3:21","179","1:27.8","3:39","--","--"
"6","1:23.2","8:34.0","400","3:28","--","155","159","0","0","415","体重なし","439","体重なし","179","204","--","1.63","10.1","6.2","21","18.0","3:17","183","1:23","3:27","--","--"
"7","1:27.1","10:01","400","3:38","--","157","158","0","0","405","体重なし","423","体重なし","177","210","--","1.60","10.2","6.4","23","18.0","3:25","181","1:27.1","3:38","--","--"
"8","1:27.0","11:28","400","3:37","--","157","158","0","0","408","体重なし","430","体重なし","178","208","--","1.62","10.3","6.3","22","18.0","3:17","181","1:27.0","3:37","--","--"
"9","1:24.2","12:52","400","3:31","--","157","158","0","0","408","体重なし","425","体重なし","178","207","--","1.61","10.2","6.3","22","18.0","3:21","181","1:24","3:30","--","--"
"10","1:27.1","14:19","400","3:38","--","158","159","0","0","407","体重なし","423","体重なし","177","208","--","1.62","10.3","6.3","22","18.0","3:25","179","1:27","3:37","--","--"
"11","1:25.3","15:45","400","3:33","--","158","159","0","0","408","体重なし","431","体重なし","178","209","--","1.60","10.2","6.4","22","17.0","3:25","179","1:25","3:33","--","--"
"12","1:26.3","17:11","400","3:36","--","158","159","0","0","406","体重なし","424","体重なし","178","210","--","1.58","10.1","6.4","22","17.0","3:27","179","1:26","3:35","--","--"
"13","1:25.7","18:37","400","3:34","--","158","160","0","0","409","体重なし","428","体重なし","178","208","--","1.60","10.1","6.3","22","17.0","3:27","179","1:25.7","3:34","--","--"
"14","1:24.6","20:01","400","3:32","--","159","160","0","0","409","体重なし","423","体重なし","177","209","--","1.61","10.3","6.4","22","17.0","3:26","179","1:24.6","3:32","--","--"
"15","1:26.8","21:28","400","3:37","--","158","161","0","0","409","体重なし","437","体重なし","177","208","--","1.62","10.3","6.3","22","17.0","3:26","179","1:26.8","3:37","--","--"
"16","1:26.1","22:54","400","3:35","--","161","162","0","0","408","体重なし","424","体重なし","177","209","--","1.62","10.3","6.4","22","16.0","3:26","179","1:26","3:35","--","--"
"17","1:25.2","24:19","400","3:33","--","161","163","0","0","408","体重なし","425","体重なし","178","209","--","1.60","10.2","6.4","22","16.0","3:26","179","1:25","3:33","--","--"
"18","1:25.3","25:45","400","3:33","--","162","163","0","0","410","体重なし","453","体重なし","178","208","--","1.61","10.2","6.3","22","16.0","3:14","184","1:25","3:33","--","--"
"19","1:25.3","27:10","400","3:33","--","162","164","0","0","410","体重なし","427","体重なし","177","208","--","1.62","10.3","6.3","22","16.0","3:20","181","1:25","3:33","--","--"
"20","1:26.4","28:36","400","3:36","--","162","163","0","0","410","体重なし","429","体重なし","178","206","--","1.63","10.3","6.3","23","16.0","3:22","181","1:26.4","3:36","--","--"
"21","1:22.1","29:59","400","3:25","--","164","165","0","0","415","体重なし","430","体重なし","180","202","--","1.65","10.1","6.1","22","16.0","3:19","183","1:22","3:25","--","--"
