分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:07:30.000,00:07:30.000,1.78,--,--,0:04:12  ,0:04:12  ,0:03:53  ,174.953125,178.0,136.14000244140627,148.0,158.0,--,106
2,00:01:30.000,00:00:16.000,0.02,--,--,1:06:56  ,0:11:53  ,0:04:17  ,23.46875,174.0,133.6699951171875,126.0,158.0,--,15
3,00:07:30.000,00:07:30.000,1.81,--,--,0:04:08  ,0:04:08  ,0:03:44  ,175.515625,180.0,137.94000244140625,153.0,162.0,--,109
4,00:01:30.000,00:00:22.000,0.04,--,--,0:41:15  ,0:10:05  ,0:04:00  ,43.765625,187.0,167.44000244140625,128.0,159.0,--,14
5,00:07:30.000,00:07:30.000,1.82,--,--,0:04:07  ,0:04:07  ,0:03:53  ,175.140625,179.0,138.39000244140627,155.0,163.0,--,109
6,00:01:30.000,00:00:49.000,0.07,--,--,0:21:57  ,0:11:56  ,0:04:08  ,70.40625,213.0,111.24000244140626,131.0,160.0,--,14
7,00:07:30.000,00:07:30.000,1.82,--,--,0:04:06  ,0:04:06  ,0:03:52  ,175.75,184.0,138.81999511718752,156.0,162.0,--,109
8,00:01:30.000,00:00:18.000,0.04,--,--,0:42:18  ,0:08:27  ,0:04:03  ,29.703125,179.0,101.12999877929688,132.0,161.0,--,12
9,00:00:00.233,00:00:00.000,--,--,--,--,--,--,0.0,0.0,--,108.0,108.0,--,--
Summary,00:36:00.233,00:31:45.000,8,--,--,0:04:30  ,0:03:58  ,0:03:44  ,153.09375,213.0,137.0199951171875,149.0,163.0,--,487
